,Location,Price,Sqft,Bath,Bed,Street,zipcode,kmeans
469,"5611 Magee Bnd, Austin, TX 78749",675000,2775,3,4,5611 Magee Bnd,78749,2
470,"11502 JOHNNY WEISMULLER LN, Austin, TX 78748",450000,1707,3,3,11502 JOHNNY WEISMULLER LN,78748,8
471,"6631 Dogwood Creek Dr, Austin, TX 78746",1875000,3615,4,4,6631 Dogwood Creek Dr,78746,7
472,"1305 Meriden Ln, Austin, TX 78703",4500000,5385,5,5,1305 Meriden Ln,78703,0
473,"7907 Northforest Dr, Austin, TX 78759",592000,1481,2,3,7907 Northforest Dr,78759,1
474,"5961 Salcon Cliff Dr, Austin, TX 78749",599900,1892,2,3,5961 Salcon Cliff Dr,78749,1
475,"4307 Churchill Downs Dr, Austin, TX 78746",7250000,5719,7,5,4307 Churchill Downs Dr,78746,3
476,"5102 Beverly Skyline, Austin, TX 78731",3950000,5084,7,5,5102 Beverly Skyline,78731,0
477,"1301 Cedar Stand Pass, Austin, TX 78748",475000,1895,3,3,1301 Cedar Stand Pass,78748,8
478,"10912 Sierra Oaks, Austin, TX 78759",825000,2295,3,4,10912 Sierra Oaks,78759,2
479,"1501 Damon Rd #1, Austin, TX 78745",775000,2248,3,4,1501 Damon Rd #1,78745,2
480,"2508 E 4th St #A, Austin, TX 78702",674000,865,3,2,2508 E 4th St #A,78702,5
481,"812 W Mary St, Austin, TX 78704",2750000,2606,3,3,812 W Mary St,78704,8
482,"6312 Avery Island Ave, Austin, TX 78727",380000,1020,2,2,6312 Avery Island Ave,78727,5
483,"3141 Wavecrest Blvd, Austin, TX 78728",460000,1962,2,4,3141 Wavecrest Blvd,78728,2
484,"5203 Periwinkle Path, Austin, TX 78745",659000,1583,2,3,5203 Periwinkle Path,78745,1
485,"11104 Amesite Trl, Austin, TX 78726",825000,2998,3,4,11104 Amesite Trl,78726,2
486,"6809 Mesa Dr, Austin, TX 78731",1249888,2899,3,3,6809 Mesa Dr,78731,8
487,"8212 Spire Vw, Austin, TX 78744",769000,2504,3,4,8212 Spire Vw,78744,2
488,"5905 Zachary Scott St, Austin, TX 78747",379000,1398,2,3,5905 Zachary Scott St,78747,1
489,"14806 Running Deer Trl, Austin, TX 78734",595000,2212,3,3,14806 Running Deer Trl,78734,8
490,"7709 Saddle Up Dr, Austin, TX 78724",549900,2381,3,4,7709 Saddle Up Dr,78724,2
491,"2140 McCloskey St, Austin, TX 78723",850000,1439,2,3,2140 McCloskey St,78723,1
492,"10424 Turnbull Loop, Austin, TX 78717",490000,1864,3,3,10424 Turnbull Loop,78717,8
493,"4615 White Elm Dr, Austin, TX 78749",724500,1654,2,3,4615 White Elm Dr,78749,1
494,"6609 Loretta White Ln, Austin, TX 78744",475000,2621,3,4,6609 Loretta White Ln,78744,2
495,"4200 Cat Mountain Dr, Austin, TX 78731",2150000,4834,6,5,4200 Cat Mountain Dr,78731,0
496,"8304 Yokohama Ter, Austin, TX 78744",574500,2362,3,3,8304 Yokohama Ter,78744,8
497,"8320 Montoya Cir, Austin, TX 78717",575000,2444,3,4,8320 Montoya Cir,78717,2
498,"10108 Talleyran Dr, Austin, TX 78750",850000,3037,3,3,10108 Talleyran Dr,78750,8
499,"4603 Quicksilver Blvd, Austin, TX 78744",370000,1239,2,3,4603 Quicksilver Blvd,78744,1
500,"4610 Halliday Ave, Austin, TX 78725",330000,1225,2,3,4610 Halliday Ave,78725,1
501,"4905 W Market Dr, Austin, TX 78731",850000,1492,2,3,4905 W Market Dr,78731,1
502,"7812 Crystalbrook W, Austin, TX 78724",485000,2089,3,4,7812 Crystalbrook W,78724,2
503,"11311 April Dr, Austin, TX 78753",675000,1935,3,4,11311 April Dr,78753,2
504,"6615 Galindo St, Austin, TX 78741",330000,858,1,3,6615 Galindo St,78741,1
505,"4705 Balcones Dr, Austin, TX 78731",1400000,3043,3,4,4705 Balcones Dr,78731,2
506,"6614 Carisbrooke Ln, Austin, TX 78754",394500,1806,2,3,6614 Carisbrooke Ln,78754,1
507,"1010 E 44th St, Austin, TX 78751",775000,981,2,2,1010 E 44th St,78751,5
508,"6916 Doyal Dr, Austin, TX 78747",355000,1350,3,3,6916 Doyal Dr,78747,8
509,"8902 Meridian Oak Ln, Austin, TX 78744",489000,2697,3,4,8902 Meridian Oak Ln,78744,2
510,"2400 Aldford Dr, Austin, TX 78745",445000,1268,1,3,2400 Aldford Dr,78745,1
511,"6009 Glen Meadow Dr, Austin, TX 78745",549900,1283,2,3,6009 Glen Meadow Dr,78745,1
512,"1106 Enfield Rd, Austin, TX 78703",1375000,1722,2,3,1106 Enfield Rd,78703,1
513,"2411 Eagle Point, Lakeway, TX 78734",597000,2304,2,3,2411 Eagle Point,78734,1
514,"1912 Montana Sky Dr, Austin, TX 78727",507000,2691,3,4,1912 Montana Sky Dr,78727,2
515,"5506 Kings Hwy, Austin, TX 78745",497000,1282,2,3,5506 Kings Hwy,78745,1
516,"2705 1/2 Stratford Dr, Austin, TX 78746",6500000,4776,5,5,2705 1/2 Stratford Dr,78746,0
517,"6501 Krollton Dr, Austin, TX 78745",625000,1354,2,3,6501 Krollton Dr,78745,1
518,"13700 Camp Comfort Ln, Austin, TX 78717",899900,3047,3,5,13700 Camp Comfort Ln,78717,6
519,"9004 Hunters Trce, Austin, TX 78758",467000,1503,2,3,9004 Hunters Trce,78758,1
520,"4808 Shoal Creek Blvd, Austin, TX 78756",765000,2004,2,3,4808 Shoal Creek Blvd,78756,1
521,"7302 Meador Ave, Austin, TX 78752",568000,1429,2,3,7302 Meador Ave,78752,1
522,"1301 Pike Rd, Austin, TX 78734",550000,1170,1,2,1301 Pike Rd,78734,5
523,"3201 Catalina Dr, Austin, TX 78741",589000,2046,3,4,3201 Catalina Dr,78741,2
524,"1701 Pasadena Dr, Austin, TX 78757",1875000,2912,4,4,1701 Pasadena Dr,78757,7
525,"2115 Elysian Flds, Austin, TX 78727",495999,1458,2,3,2115 Elysian Flds,78727,1
526,"8803 Sansom Rd, Austin, TX 78754",679000,3565,3,5,8803 Sansom Rd,78754,6
527,"8404 Sweet Cherry Dr, Austin, TX 78750",1050000,3064,3,5,8404 Sweet Cherry Dr,78750,6
528,"1801 W Saint Johns Ave, Austin, TX 78757",665500,1516,2,3,1801 W Saint Johns Ave,78757,1
529,"2503 Deerfoot Trl, Austin, TX 78704",2475000,2480,3,4,2503 Deerfoot Trl,78704,2
530,"4524 Chesney Ridge Dr, Austin, TX 78749",548000,1744,2,3,4524 Chesney Ridge Dr,78749,1
531,"3204 Belgrave Falls Ln, Austin, TX 78748",559000,2554,3,3,3204 Belgrave Falls Ln,78748,8
532,"1303 Richcreek Rd, Austin, TX 78757",775000,1522,2,3,1303 Richcreek Rd,78757,1
533,"1303 S 5th St, Austin, TX 78704",625000,666,1,2,1303 S 5th St,78704,5
534,"1909 Rinker Ranch Dr, Austin, TX 78725",395000,1370,2,3,1909 Rinker Ranch Dr,78725,1
535,"4913 Single Shot Cir, Austin, TX 78723",480000,1209,2,3,4913 Single Shot Cir,78723,1
536,"12109 Buckingham Gate Rd, Austin, TX 78748",435000,1265,2,3,12109 Buckingham Gate Rd,78748,1
537,"5017 Trail West Dr, Austin, TX 78735",978000,2389,3,4,5017 Trail West Dr,78735,2
538,"2306 Bowman Ave, Austin, TX 78703",1695000,2774,2,4,2306 Bowman Ave,78703,2
539,"6604 Lexington Rd, Austin, TX 78757",1385000,2501,3,5,6604 Lexington Rd,78757,6
540,"2006 Ann Arbor Ave, Austin, TX 78704",1685000,2777,3,4,2006 Ann Arbor Ave,78704,2
541,"1706 Rockmoor Ave, Austin, TX 78703",4395000,3689,4,3,1706 Rockmoor Ave,78703,7
542,"9000 Pin Brush Dr, Austin, TX 78748",550000,2068,3,3,9000 Pin Brush Dr,78748,8
543,"1408 Wooten Dr, Austin, TX 78757",475000,1303,2,3,1408 Wooten Dr,78757,1
545,"107 W Concord Cir, Austin, TX 78737",899999,2891,3,4,107 W Concord Cir,78737,2
546,"150 Saint Richie Ln, Austin, TX 78737",595000,2064,2,3,150 Saint Richie Ln,78737,1
547,"11407 Eddie Egan Ln, Austin, TX 78748",435000,1422,3,3,11407 Eddie Egan Ln,78748,8
548,"11429 Mordred Ct, Austin, TX 78739",749500,2364,2,3,11429 Mordred Ct,78739,1
549,"5700 Wilder Rdg, Austin, TX 78759",1095000,3017,3,4,5700 Wilder Rdg,78759,2
550,"5404 Ingersoll Ln, Austin, TX 78744",415000,1297,2,3,5404 Ingersoll Ln,78744,1
551,"280 Abbey Dr, Austin, TX 78737",624999,2430,2,4,280 Abbey Dr,78737,2
552,"8707 Azalea Trl, Austin, TX 78759",1279000,2462,3,3,8707 Azalea Trl,78759,8
553,"4801 Senora Creek Ct, Austin, TX 78735",960000,2797,3,4,4801 Senora Creek Ct,78735,2
554,"621 Mairo St, Austin, TX 78748",480000,2054,4,5,621 Mairo St,78748,6
555,"3807 Hyridge Dr, Austin, TX 78759",1575000,2475,3,4,3807 Hyridge Dr,78759,2
556,"1700 W 32nd St, Austin, TX 78703",3750000,3575,6,5,1700 W 32nd St,78703,0
557,"241 Venice Cv, Austin, TX 78737",849900,3421,4,5,241 Venice Cv,78737,6
558,"609 Clifford Dr #1, Austin, TX 78745",997000,2615,3,4,609 Clifford Dr #1,78745,2
559,"5913 Sunshine Dr, Austin, TX 78757",775000,1554,2,4,5913 Sunshine Dr,78757,2
560,"9414 S Chisholm Trl, Austin, TX 78748",475000,1916,2,4,9414 S Chisholm Trl,78748,2
561,"11108 Bruneau Trl, Austin, TX 78754",495000,2347,3,4,11108 Bruneau Trl,78754,2
562,"7506 Arboleda Cv, Austin, TX 78745",524900,2020,2,3,7506 Arboleda Cv,78745,1
563,"4616 Hank Ave, Austin, TX 78745",495000,766,1,2,4616 Hank Ave,78745,5
564,"3922 Knollwood Dr, Austin, TX 78731",1325000,2668,3,4,3922 Knollwood Dr,78731,2
565,"5508 Cordell Ln, Austin, TX 78723",599000,1577,2,3,5508 Cordell Ln,78723,1
566,"7001 Woodhue Dr #A, Austin, TX 78745",475000,1043,2,2,7001 Woodhue Dr #A,78745,5
567,"3209 Rustic River Cv, Austin, TX 78746",2750000,7000,6,6,3209 Rustic River Cv,78746,3
568,"1205 McKinley Ave, Austin, TX 78702",990000,1958,2,3,1205 McKinley Ave,78702,1
569,"2407 Coral Ridge Cir, Austin, TX 78747",599000,2284,2,3,2407 Coral Ridge Cir,78747,1
570,"296 Jacksdaw Dr, Austin, TX 78737",1295000,4162,5,5,296 Jacksdaw Dr,78737,0
571,"9624 Newfoundland Cir, Austin, TX 78758",599000,1698,2,3,9624 Newfoundland Cir,78758,1
572,"12408 Granton Cv, Austin, TX 78754",382500,1856,3,3,12408 Granton Cv,78754,8
573,"5211 Emerald Meadow Dr, Austin, TX 78745",525000,1368,2,3,5211 Emerald Meadow Dr,78745,1
574,"4418 Mount Vernon Dr #A, Austin, TX 78745",975000,2003,3,3,4418 Mount Vernon Dr #A,78745,8
575,"11200 Kirkland Hill Path, Austin, TX 78754",386000,1647,2,3,11200 Kirkland Hill Path,78754,1
576,"11609 Queens Way, Austin, TX 78759",729000,2286,2,4,11609 Queens Way,78759,2
577,"166 Indian Grass Cv, Austin, TX 78737",898000,3204,3,3,166 Indian Grass Cv,78737,8
578,"1105 Castile Rd, Austin, TX 78733",2300000,4132,4,4,1105 Castile Rd,78733,7
580,"2801 Bonnie Rd, Austin, TX 78703",4000000,4621,5,4,2801 Bonnie Rd,78703,7
581,"10005 Nocturne Cv, Austin, TX 78750",800000,2250,2,3,10005 Nocturne Cv,78750,1
582,"9010 Jodie Ln, Austin, TX 78748",595000,2596,3,4,9010 Jodie Ln,78748,2
583,"6203 Langham St #2, Austin, TX 78741",485000,975,3,2,6203 Langham St #2,78741,5
584,"11910 Farrier Ln, Austin, TX 78748",475000,2253,3,4,11910 Farrier Ln,78748,2
585,"1308 July Dr, Austin, TX 78753",550000,2450,3,3,1308 July Dr,78753,8
586,"11504 February Dr, Austin, TX 78753",1350000,2450,4,3,11504 February Dr,78753,8
587,"12806 Lamppost Ln, Austin, TX 78727",479900,1312,2,3,12806 Lamppost Ln,78727,1
588,"3304 Oxsheer Dr, Austin, TX 78732",919900,3333,3,4,3304 Oxsheer Dr,78732,2
590,"2707 Valley Springs Rd, Austin, TX 78746",3250000,4320,5,4,2707 Valley Springs Rd,78746,7
591,"902 W Village Ln, Austin, TX 78758",375000,1137,3,3,902 W Village Ln,78758,8
592,"10208 La Costa Dr, Austin, TX 78747",619000,2742,3,3,10208 La Costa Dr,78747,8
593,"8107 Middle Ct, Austin, TX 78759",699900,2097,2,2,8107 Middle Ct,78759,5
594,"6820 Kenosha Pass, Austin, TX 78749",965000,2219,2,4,6820 Kenosha Pass,78749,2
596,"2307 Windsor Rd, Austin, TX 78703",6200000,5548,6,4,2307 Windsor Rd,78703,0
597,"5616 S 1st St UNIT 33, Austin, TX 78745",599000,1844,3,3,5616 S 1st St UNIT 33,78745,8
598,"5509 Durango Pass, Austin, TX 78724",556395,2440,3,4,5509 Durango Pass,78724,2
599,"2107 Nathan Dr, Austin, TX 78728",455000,1394,2,3,2107 Nathan Dr,78728,1
600,"8133 Ladera Verde Dr, Austin, TX 78739",975000,3124,3,4,8133 Ladera Verde Dr,78739,2
601,"18104 Painted Horse Cv, Austin, TX 78738",799000,2909,3,3,18104 Painted Horse Cv,78738,8
602,"13918 Hummingbird Ln, Austin, TX 78732",685000,2211,3,3,13918 Hummingbird Ln,78732,8
603,"7511 Black Mountain Dr, Austin, TX 78736",820000,3299,3,5,7511 Black Mountain Dr,78736,6
604,"8011 Orizzonte St, Austin, TX 78744",399900,1518,2,2,8011 Orizzonte St,78744,5
605,"5908 Aylford Ct, Austin, TX 78739",839000,2603,2,4,5908 Aylford Ct,78739,2
607,"220 Piedmont Hills Pass, Austin, TX 78732",875000,2933,3,4,220 Piedmont Hills Pass,78732,2
608,"5729 Brocade Dr, Austin, TX 78724",399000,1845,2,4,5729 Brocade Dr,78724,2
609,"8405 Twiggy Ln, Austin, TX 78747",415000,1420,2,3,8405 Twiggy Ln,78747,1
610,"3206 Western Dr, Austin, TX 78745",624999,1557,3,3,3206 Western Dr,78745,8
611,"14401 Robert I Walker Blvd, Austin, TX 78728",469900,1500,3,3,14401 Robert I Walker Blvd,78728,8
612,"1505 Newning Ave, Austin, TX 78704",2500000,1960,2,3,1505 Newning Ave,78704,1
613,"11200 Los Comancheros Rd, Austin, TX 78717",549000,2129,3,3,11200 Los Comancheros Rd,78717,8
614,"6911 Greenshores Dr, Austin, TX 78730",2850000,5236,6,5,6911 Greenshores Dr,78730,0
615,"1212 Eleanor St #2, Austin, TX 78721",574900,891,2,2,1212 Eleanor St #2,78721,5
616,"2307 Tower Dr, Austin, TX 78703",1650000,1860,2,3,2307 Tower Dr,78703,1
617,"6302 Capriola Dr, Austin, TX 78745",584900,1369,2,3,6302 Capriola Dr,78745,1
618,"5805 Swayden Ln, Austin, TX 78745",665000,2035,3,3,5805 Swayden Ln,78745,8
619,"1402 Theodora Cv, Austin, TX 78753",455000,1472,2,5,1402 Theodora Cv,78753,2
620,"6003 Messenger Stake, Austin, TX 78746",1099000,2806,2,3,6003 Messenger Stake,78746,1
622,"330 Torrington Dr, Austin, TX 78737",775000,3032,4,4,330 Torrington Dr,78737,7
623,"1001 Walter St #1, Austin, TX 78702",899000,1939,3,3,1001 Walter St #1,78702,8
624,"4307 Zuni Dr, Austin, TX 78759",625000,1823,2,3,4307 Zuni Dr,78759,1
625,"1138 Northwestern Ave, Austin, TX 78702",755000,1394,2,4,1138 Northwestern Ave,78702,2
627,"12410 Blossomwood Dr, Austin, TX 78727",725000,2359,3,4,12410 Blossomwood Dr,78727,2
628,"7703 Song Sparrow Dr, Austin, TX 78744",494517,2527,4,5,7703 Song Sparrow Dr,78744,6
629,"1909 Whitebead Trl, Austin, TX 78734",598000,2030,2,3,1909 Whitebead Trl,78734,1
630,"13501 Metric Blvd UNIT 27, Austin, TX 78727",569000,2242,3,4,13501 Metric Blvd UNIT 27,78727,2
631,"8417 Silhouette St, Austin, TX 78744",692000,2436,3,4,8417 Silhouette St,78744,2
632,"11201 Harlyn Bay Rd, Austin, TX 78754",489000,2636,2,3,11201 Harlyn Bay Rd,78754,1
633,"3702 Alexandria Dr, Austin, TX 78749",455000,1639,2,2,3702 Alexandria Dr,78749,5
634,"712 E 44th St APT A, Austin, TX 78751",865000,2052,3,4,712 E 44th St APT A,78751,2
635,"9106 Balcones Club Dr, Austin, TX 78750",939900,2961,3,3,9106 Balcones Club Dr,78750,8
636,"7689 Delwau Ln, Austin, TX 78725",799980,1500,4,3,7689 Delwau Ln,78725,8
637,"11803 Three Oaks Trl, Austin, TX 78759",735000,2322,2,4,11803 Three Oaks Trl,78759,2
638,"15105 Sun Bird Ln, Austin, TX 78734",539500,1661,2,3,15105 Sun Bird Ln,78734,1
639,"3403 Cambridge Ct #B, Austin, TX 78723",675000,1100,3,2,3403 Cambridge Ct #B,78723,5
640,"8101 Bestride Bnd, Austin, TX 78744",690000,2809,3,4,8101 Bestride Bnd,78744,2
641,"2401 Never Bend Cv, Austin, TX 78746",3895000,5405,6,5,2401 Never Bend Cv,78746,0
642,"15214 Kevin Ln, Austin, TX 78734",775000,2921,2,3,15214 Kevin Ln,78734,1
643,"1704 Meander Dr, Austin, TX 78721",495000,864,1,3,1704 Meander Dr,78721,1
644,"4005 Balcones Dr, Austin, TX 78731",3749950,3854,5,4,4005 Balcones Dr,78731,7
645,"12904 Stanzel Dr, Austin, TX 78729",675000,2383,3,4,12904 Stanzel Dr,78729,2
647,"716 Sheraton Ave, Austin, TX 78745",549000,1418,2,3,716 Sheraton Ave,78745,1
648,"2003 Ohlen Rd, Austin, TX 78757",540000,1255,1,3,2003 Ohlen Rd,78757,1
649,"6806 Wake Forest Ln, Austin, TX 78723",429900,1275,1,3,6806 Wake Forest Ln,78723,1
650,"403 Ridgewood Rd, Austin, TX 78746",3949000,4171,5,6,403 Ridgewood Rd,78746,0
651,"11709 Barrington Way, Austin, TX 78759",625000,1449,2,3,11709 Barrington Way,78759,1
652,"8001 Borden Springs Ct, Austin, TX 78717",775000,3219,4,4,8001 Borden Springs Ct,78717,7
653,"4607 Trail West Dr, Austin, TX 78735",925000,2196,3,4,4607 Trail West Dr,78735,2
654,"1400 Drake Ave, Austin, TX 78704",2600000,2456,4,4,1400 Drake Ave,78704,7
655,"15215 Thatcher Dr, Austin, TX 78717",950000,4019,4,5,15215 Thatcher Dr,78717,6
656,"1708 Garden St UNIT 1, Austin, TX 78702",875000,1288,2,3,1708 Garden St UNIT 1,78702,1
657,"2300 Southern Oaks Dr, Austin, TX 78745",1250000,2230,3,4,2300 Southern Oaks Dr,78745,2
658,"8221 Phantom Canyon Dr, Austin, TX 78726",949000,4189,4,5,8221 Phantom Canyon Dr,78726,6
659,"1121 Salem Park Ct, Austin, TX 78745",545000,1514,3,3,1121 Salem Park Ct,78745,8
660,"1802 Hether St, Austin, TX 78704",3373000,3380,5,5,1802 Hether St,78704,0
661,"11716 Saddle Rock Dr, Austin, TX 78725",500000,2322,3,3,11716 Saddle Rock Dr,78725,8
662,"2401 W 12th St, Austin, TX 78703",2195000,3289,4,4,2401 W 12th St,78703,7
663,"1409 Falconer Way, Austin, TX 78748",449000,1910,3,4,1409 Falconer Way,78748,2
664,"13401 Bullick Hollow Rd, Austin, TX 78726",5995000,6178,5,7,13401 Bullick Hollow Rd,78726,4
665,"5000 Savorey Ln, Austin, TX 78744",335859,907,1,2,5000 Savorey Ln,78744,5
666,"8507 Chalk Knoll Dr, Austin, TX 78735",3795000,6603,6,5,8507 Chalk Knoll Dr,78735,0
667,"1600 Susan Dr, Austin, TX 78734",890000,3183,3,3,1600 Susan Dr,78734,8
668,"7810 Libretto Ln, Austin, TX 78744",514442,3125,3,4,7810 Libretto Ln,78744,2
669,"708 E 47th St UNIT B, Austin, TX 78751",912000,1928,3,3,708 E 47th St UNIT B,78751,8
670,"12800 Partridge Bend Dr, Austin, TX 78729",595000,2285,3,4,12800 Partridge Bend Dr,78729,2
672,"4901 Bandera Rd, Austin, TX 78721",550000,1689,2,4,4901 Bandera Rd,78721,2
673,"11601 Barchetta Dr, Austin, TX 78758",499900,1836,2,3,11601 Barchetta Dr,78758,1
675,"7021 Van Buren Ln, Austin, TX 78724",534920,2081,3,4,7021 Van Buren Ln,78724,2
676,"10729 Canfield Dr, Austin, TX 78739",2175000,5009,5,5,10729 Canfield Dr,78739,0
677,"4904 Louis Ave, Austin, TX 78721",485000,834,1,2,4904 Louis Ave,78721,5
678,"12513 Morelia Way, Austin, TX 78748",749900,4033,5,5,12513 Morelia Way,78748,0
679,"6303 Clubway Ln, Austin, TX 78745",479500,1770,2,4,6303 Clubway Ln,78745,2
720,"2813 Sissinghurst Dr, Austin, TX 78745",515000,1681,3,3,2813 Sissinghurst Dr,78745,8
721,"616 W Monroe St, Austin, TX 78704",3200000,5131,6,6,616 W Monroe St,78704,0
722,"3209 E 16th St, Austin, TX 78721",350000,792,1,3,3209 E 16th St,78721,1
723,"3209 Lynnbrook Dr, Austin, TX 78748",588500,2334,2,4,3209 Lynnbrook Dr,78748,2
724,"7013 Loretta White Ln, Austin, TX 78744",429500,1512,2,3,7013 Loretta White Ln,78744,1
725,"2422 S 6th St, Austin, TX 78704",2590000,2810,4,3,2422 S 6th St,78704,8
726,"2301 W 10th St, Austin, TX 78703",1190000,1776,3,4,2301 W 10th St,78703,2
727,"1304 Tetbury Ln, Austin, TX 78748",475000,2194,3,3,1304 Tetbury Ln,78748,8
728,"5011 Balcones Dr UNIT D, Austin, TX 78731",1100000,2544,4,4,5011 Balcones Dr UNIT D,78731,7
730,"6508 Garden Rose Path, Austin, TX 78754",389999,1788,3,3,6508 Garden Rose Path,78754,8
731,"10602 Skyflower Dr, Austin, TX 78759",1275000,3325,4,4,10602 Skyflower Dr,78759,7
732,"11901 Swearingen Dr APT 33F, Austin, TX 78758",350000,1042,3,2,11901 Swearingen Dr APT 33F,78758,5
733,"1103 Cadence Dr, Pflugerville, TX 78660",535000,2994,3,4,1103 Cadence Dr,78660,2
734,"6710 Stonleigh Pl, Austin, TX 78744",375000,1516,1,4,6710 Stonleigh Pl,78744,2
735,"6846 Thistle Hill Way, Austin, TX 78754",525000,2643,3,5,6846 Thistle Hill Way,78754,6
736,"11404 Archstone Dr, Austin, TX 78739",1185000,3435,4,4,11404 Archstone Dr,78739,7
737,"2819 Nordham Dr, Austin, TX 78745",637000,1517,2,3,2819 Nordham Dr,78745,1
738,"601 Westmorland Dr, Austin, TX 78745",499000,992,2,3,601 Westmorland Dr,78745,1
739,"11312 Hollister Dr, Austin, TX 78739",1150000,3326,3,4,11312 Hollister Dr,78739,2
740,"7801 House Finch Dr, Austin, TX 78744",467882,2458,4,4,7801 House Finch Dr,78744,7
741,"701 W Caddo St, Austin, TX 78753",523999,1540,2,3,701 W Caddo St,78753,1
742,"5516 Loma Alta Dr, Austin, TX 78744",465000,2068,3,4,5516 Loma Alta Dr,78744,2
743,"1205 Echo Ln, Austin, TX 78745",575000,1897,2,4,1205 Echo Ln,78745,2
744,"2109 Thornton Rd UNIT A, Austin, TX 78704",965000,2067,3,3,2109 Thornton Rd UNIT A,78704,8